License Address,Total Page Count,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/it/,750000,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/hu/,710000,,,
http://creativecommons.org/licenses/publicdomain/,690000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/es/,620000,,,
https://creativecommons.org/licenses/by/3.0/pl/,610000,,,
http://creativecommons.org/licenses/by-nc/4.0/deed.en,580000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/es/,560000,,,
https://creativecommons.org/licenses/by/3.0/es/,560000,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/es/,520000,,,
http://creativecommons.org/licenses/by-nc-nd/2.0/kr/,520000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.es,490000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.sr_LATN,490000,,,
http://creativecommons.org/licenses/by/3.0/us/,490000,,,
http://creativecommons.org/licenses/by-nc-sa/2.5/it/,480000,,,
http://creativecommons.org/licenses/by/3.0/it/,470000,,,
http://creativecommons.org/publicdomain/mark/1.0/,470000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/it/,470000,,,
http://creativecommons.org/licenses/by-nc-sa/2.5/,470000,,,
http://creativecommons.org/licenses/by/3.0/au/,470000,,,
https://creativecommons.org/licenses/by-nc-sa/3.0/,460000,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/tw/,450000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/deed.en_US,440000,,,
http://creativecommons.org/licenses/by-sa/3.0/us/,440000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/it/,440000,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/,430000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/deed.es_ES,420000,,,
http://creativecommons.org/licenses/by-nc-sa/2.5/hu/,420000,,,
http://creativecommons.org/licenses/by/4.0/deed.ru,410000,,,
http://creativecommons.org/licenses/by-nd/4.0/,410000,,,
http://creativecommons.org/licenses/by/2.1/jp/,400000,,,
http://creativecommons.org/licenses/by-nc-sa/2.0/kr/,400000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_ES,330000,,,
http://creativecommons.org/licenses/by/3.0/deed.it,330000,,,
https://creativecommons.org/licenses/by/3.0/au/,310000,,,
http://creativecommons.org/licenses/by-nc-sa/2.0/,290000,,,
http://creativecommons.org/licenses/by-sa/2.5/hr/,290000,,,
https://creativecommons.org/licenses/by/4.0/deed.ru,290000,,,
http://creativecommons.org/licenses/by-sa/3.0/deed.es,280000,,,
http://creativecommons.org/licenses/by-nc-sa/2.5/es/,280000,,,
https://creativecommons.org/licenses/by/3.0/,270000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/br/,270000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_CO,260000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/ec/,260000,,,
http://creativecommons.org/licenses/by/2.0/,250000,,,
https://creativecommons.org/licenses/by-nc-sa/2.0/kr/,250000,,,
http://creativecommons.org/licenses/by-nc/3.0/es/,250000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/lu/deed.en,240000,,,
http://creativecommons.org/licenses/by-nc-nd/2.0/fr/,230000,,,
http://creativecommons.org/licenses/by-nc/4.0/deed.es,230000,,,
http://creativecommons.org/licenses/by-sa/2.5/,230000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/tw/,230000,,,
http://creativecommons.org/licenses/by/3.0/deed.en_US,220000,,,
https://creativecommons.org/publicdomain/zero/1.0/,220000,,,
http://creativecommons.org/licenses/by-nc/2.5/cn/,220000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.it,220000,,,
http://creativecommons.org/licenses/by/3.0/gr/,220000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/cz/,210000,,,
http://creativecommons.org/licenses/by/4.0/deed.en,210000,,,
https://creativecommons.org/licenses/by-nc/4.0/,200000,,,
http://creativecommons.org/licenses/by/3.0/deed.ja,200000,,,
https://creativecommons.org/licenses/by-nc-nd/3.0/,200000,,,
https://creativecommons.org/licenses/by-nc-nd/3.0/it/,190000,,,
http://creativecommons.org/licenses/by-nc/3.0/deed.es,190000,,,
http://creativecommons.org/licenses/by-nc-nd/2.0/uk/,190000,,,
http://creativecommons.org/licenses/by-nc/4.0/deed.en_US,180000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/es/,180000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.es_AR,170000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/th/,170000,,,
http://creativecommons.org/licenses/by-nc-sa/2.0/fr/deed.fr,160000,,,
http://creativecommons.org/licenses/by-nd/3.0/,160000,,,
http://creativecommons.org/licenses/by-sa/3.0/rs/legalcode.sr-Cyrl,160000,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/in/,160000,,,
https://creativecommons.org/licenses/by/4.0/deed.es_ES,160000,,,
https://creativecommons.org/licenses/by-sa/3.0/es/legalcode.eu,160000,,,
http://creativecommons.org/licenses/by-sa/3.0/deed.eu_ES,160000,,,
http://creativecommons.org/licenses/by-nc-sa/2.0/fr/,160000,,,
http://creativecommons.org/licenses/by/2.5/,160000,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/br/,150000,,,
http://creativecommons.org/licenses/by-sa/3.0/deed.en_US,150000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/deed.es_CO,150000,,,
http://creativecommons.org/licenses/by-sa/3.0/deed.ja,150000,,,
https://creativecommons.org/licenses/by-nc/4.0/,150000,,,
http://creativecommons.org/licenses/by-nc/4.0/deed.pt,140000,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/ca/,140000,,,
https://creativecommons.org/licenses/by/3.0/us/,140000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/deed.ru,140000,,,
http://creativecommons.org/licenses/by/2.5/it/,140000,,,
http://creativecommons.org/licenses/by-nc/2.5/hu/,140000,,,
http://creativecommons.org/licenses/by/3.0/deed.ar,140000,,,
https://creativecommons.org/licenses/by-sa/4.0/deed.en_US,140000,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/mx/,130000,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/ar/,130000,,,
http://creativecommons.org/licenses/by-nc-sa/2.5/tw/,130000,,,
http://creativecommons.org/licenses/by/2.5/,130000,,,
http://creativecommons.org/licenses/by-nc/2.5/ar/,130000,,,
http://creativecommons.org/licenses/by/2.5/dk/deed.en_GB,130000,,,
https://creativecommons.org/licenses/by-nc-nd/2.0/kr/,130000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/br,130000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/de/,130000,,,
http://creativecommons.org/licenses/by-nc/3.0/us/,130000,,,
http://creativecommons.org/licenses/by/3.0/es/deed.es,120000,,,
http://creativecommons.org/licenses/by/4.0/deed.it,120000,,,
https://creativecommons.org/licenses/by-nc-sa/2.5/bg/,120000,,,
http://creativecommons.org/licenses/by-nc-nd/4.0/deed.it,120000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/deed.et,120000,,,
http://creativecommons.org/licenses/by-nc/3.0/it/,110000,,,
http://creativecommons.org/licenses/by-sa/3.0/es/,110000,,,
https://creativecommons.org/licenses/by-nc-nd/3.0/deed.fr,110000,,,
http://creativecommons.org/licenses/by/3.0/es/deed.en,110000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/ro/,110000,,,
https://creativecommons.org/licenses/by-nc-sa/3.0/de/,110000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/cz/,110000,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/pe/,110000,,,
http://creativecommons.org/licenses/by-nc/3.0/deed.es_ES,110000,,,
http://creativecommons.org/licenses/by-nc-nd/2.0/,110000,,,
http://creativecommons.org/licenses/by-nc-sa/2.0/uk/,100000,,,
https://creativecommons.org/licenses/by-nc-sa/4.0/deed.nl,100000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/tw/,100000,,,
http://creativecommons.org/licenses/by/2.5/hu/,100000,,,
http://creativecommons.org/licenses/by-nd/2.5/br/,100000,,,
https://creativecommons.org/licenses/by-nc-nd/3.0/gr/,100000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/deed.es,100000,,,
http://creativecommons.org/licenses/by-sa/3.0/deed.en,100000,,,
http://creativecommons.org/licenses/by-nc-sa/2.0/de/,100000,,,
https://creativecommons.org/licenses/by/3.0/deed.es,90000,,,
http://creativecommons.org/licenses/by/3.0/deed.pt_BR,90000,,,
http://creativecommons.org/licenses/by-nc/2.5/,90000,,,
http://creativecommons.org/licenses/by-sa/2.5/hu/,90000,,,
http://creativecommons.org/licenses/by-sa/3.0/deed.es_ES,90000,,,
http://creativecommons.org/licenses/by-nc/2.5/es/,90000,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/pt/,90000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/de/,90000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.tr,90000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/th/,80000,,,
http://creativecommons.org/licenses/by-nc/3.0/br/,80000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.ru,80000,,,
http://creativecommons.org/licenses/by-nc-sa/2.0/it/,80000,,,
http://creativecommons.org/licenses/by-nd/2.5/hu/,80000,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/bg/,80000,,,
http://www.creativecommons.org/licenses/by-sa/2.5,80000,,,
http://creativecommons.org/licenses/by-nc-sa/2.5/ar/,80000,,,
https://creativecommons.org/licenses/by-nc/3.0/,80000,,,
http://creativecommons.org/licenses/by/3.0/deed.ru,80000,,,
http://creativecommons.org/licenses/by/4.0/deed.es,80000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.en_GB,80000,,,
http://creativecommons.org/licenses/by/3.0/deed.es,80000,,,
http://creativecommons.org/licenses/by-nc/3.0/pr/,70000,,,
http://creativecommons.org/licenses/by/2.5/es/,70000,,,
https://creativecommons.org/licenses/by-nc-sa/2.5/,70000,,,
http://creativecommons.org/licenses/by-nc/4.0,70000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/br/,70000,,,
http://creativecommons.org/licenses/by-nd/2.5/tw/,70000,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/co/,70000,,,
http://creativecommons.org/licenses/by-nc-sa/4.0/deed.hu,70000,,,
http://creativecommons.org/licenses/by-nc/3.0/cz/,70000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/de/deed.en,70000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/gr/,70000,,,
http://creativecommons.org/licenses/by/2.5/tw/,70000,,,
http://creativecommons.org/licenses/by-nc-nd/2.1/jp/,70000,,,
http://creativecommons.org/licenses/by-nc-nd/4.0/deed.es_ES,70000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.fr,70000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/rs/deed.sr_LATN,70000,,,
http://creativecommons.org/licenses/by-nc/2.5/it/,70000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/deed.it,70000,,,
http://creativecommons.org/licenses/by/3.0/br/,60000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/rs/,60000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/deed.fr,60000,,,
http://creativecommons.org/licenses/by-sa/3.0/tw/,60000,,,
http://creativecommons.org/licenses/by-nd/3.0/cz/,60000,,,
http://www.creativecommons.org/licenses/by-nc-sa/3.0,60000,,,
http://creativecommons.org/licenses/by-sa/3.0/de/,60000,,,
http://creativecommons.org/licenses/by-nc-nd/2.0/it/,60000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.pt_BR,60000,,,
http://creativecommons.org/licenses/by/3.0/nl/,60000,,,
http://creativecommons.org/licenses/by-nc-sa/2.5/ca/,60000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/tw/deed.zh_TW,60000,,,
http://creativecommons.org/licenses/by/3.0/deed.zh_HK,60000,,,
https://creativecommons.org/licenses/by-nc-nd/4.0/deed.el,60000,,,
http://creativecommons.org/publicdomain/mark/1.0/deed.ja,60000,,,
http://creativecommons.org/licenses/by-sa/3.0/cz/,60000,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/ca/deed.fr_CA,60000,,,
http://creativecommons.org/licenses/by-nc-sa/2.1/jp/,60000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/fr/,60000,,,
http://creativecommons.org/licenses/by/2.5/ar/,60000,,,
http://creativecommons.org/licenses/by-nc/2.5/tw/,60000,,,
http://creativecommons.org/licenses/by-nc/2.5/bg/deed.en,60000,,,
http://creativecommons.org/licenses/by-nc-sa/2.5/mx/,60000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.ko,60000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.pt,50000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/de/deed.es,50000,,,
http://creativecommons.org/licenses/by-nd/3.0/es/,50000,,,
http://creativecommons.org/licenses/by-sa/3.0/nz/,50000,,,
https://creativecommons.org/licenses/by-nd/2.5/br/,50000,,,
http://creativecommons.org/licenses/by-nd/3.0/br/,50000,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/hr/,50000,,,
http://creativecommons.org/licenses/by-sa/3.0/cn/,50000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/ve/,50000,,,
https://creativecommons.org/licenses/by-nd/3.0/it/,50000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.zh_TW,50000,,,
http://creativecommons.org/licenses/by-nc-sa/2.5/in/,50000,,,
http://creativecommons.org/licenses/by-sa/3.0/deed.es_CO,50000,,,
http://creativecommons.org/licenses/by/3.0/deed.es_CO,50000,,,
http://creativecommons.org/licenses/by/3.0/deed.es_ES,50000,,,
http://creativecommons.org/licenses/by-nc-nd/4.0/deed.en,50000,,,
http://creativecommons.org/licenses/by-nc-sa/2.5/br/,50000,,,
http://creativecommons.org/licenses/by/3.0,50000,,,
http://creativecommons.org/licenses//2.0/kr/,50000,,,
http://creativecommons.org/licenses/by-sa/2.5/in/,50000,,,
http://creativecommons.org/licenses/by-nc-nd/2.0/cl/,50000,,,
http://creativecommons.org/licenses/by-nd/3.0/us/,50000,,,
https://creativecommons.org/licenses/by/3.0/it/,50000,,,
http://creativecommons.org/licenses/by-sa/3.0/deed.pt_BR,50000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/au/,50000,,,
http://creativecommons.org/licenses/by/3.0/deed.en_GB,50000,,,
http://creativecommons.org/licenses/by-sa/2.5/tw/,50000,,,
https://creativecommons.org/licenses/by-nc-sa/3.0/es/deed.es,50000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/gt/,50000,,,
https://creativecommons.org/licenses/by-nc-nd/3.0/nl/,50000,,,
http://creativecommons.org/licenses/by-nc/2.0/uk/,50000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0,50000,,,
http://creativecommons.org/licenses/by/4.0/deed.en_US,50000,,,
http://creativecommons.org/licenses/by/2.0/uk/,50000,,,
http://creativecommons.org/licenses/by-nd/3.0/gr/,50000,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/se/,50000,,,
http://creativecommons.org/licenses/by-sa/2.5/it/,50000,,,
http://creativecommons.org/licenses/by-sa/2.1/jp/,50000,,,
https://creativecommons.org/licenses/by-nc-sa/2.5/it/,50000,,,
http://creativecommons.org/licenses/by/3.0/igo/,40000,,,
http://creativecommons.org/licenses/by/2.5/mx/,40000,,,
http://creativecommons.org/licenses/by-nc/3.0/de/,40000,,,
http://creativecommons.org/licenses/by/3.0/rs/,40000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/deed.ja,40000,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/cn/,40000,,,
https://creativecommons.org/licenses/by-sa/3.0/pl/,40000,,,
http://creativecommons.org/licenses/by-nc-sa/4.0/deed.es,40000,,,
http://creativecommons.org/licenses/by/4.0,40000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0,40000,,,
https://creativecommons.org/licenses/by-nc-sa/3.0/fr/,40000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/deed.nl,40000,,,
http://creativecommons.org/licenses/by-sa/3.0/nl/,40000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/fr/,40000,,,
http://creativecommons.org/licenses/by/2.5/br/,40000,,,
https://creativecommons.org/licenses/by-nc-sa/4.0/deed.es,40000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.vi,40000,,,
http://creativecommons.org/licenses/by-nc/2.5/br/,40000,,,
http://creativecommons.org/licenses/by/3.0/deed.fr,40000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/nz/,40000,,,
https://creativecommons.org/licenses/by/4.0/deed.de,40000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/es/deed.es,40000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/deed.hu,40000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.ca,40000,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/my/,40000,,,
http://creativecommons.org/licenses/by-nc-sa/2.5/co/,40000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/au/,40000,,,
https://creativecommons.org/licenses/by-nc-nd/4.0/deed.en_US,40000,,,
http://www.creativecommons.org/licenses/by-nc-nd/3.0/cz,40000,,,
http://creativecommons.org/licenses/by-sa/3.0/it/,40000,,,
https://creativecommons.org/licenses/by-nc-sa/3.0/deed.en_US,40000,,,
https://creativecommons.org/licenses/by-nc-nd/4.0/deed.es,40000,,,
http://creativecommons.org/licenses/by-nc-sa/2.5/cn/,40000,,,
http://creativecommons.org/licenses/by-sa/3.0/gr/,40000,,,
http://creativecommons.org/licenses/by-sa/3.0/deed.it,40000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/es/deed.es_ES,40000,,,
http://creativecommons.org/licenses/by-nc-sa/2.5/pt/,40000,,,
http://creativecommons.org/licenses/by-nc-nd/4.0/deed.en_US,40000,,,
http://creativecommons.org/licenses/by/3.0/th/,40000,,,
http://creativecommons.org/licenses/by-sa/2.5/es/,30000,,,
https://creativecommons.org/licenses/by/3.0/igo/,30000,,,
http://creativecommons.org/licenses/by-nc-nd/4.0/deed.es,30000,,,
http://www.creativecommons.org/licenses/by/3.0,30000,,,
https://creativecommons.org/licenses/by-sa/4.0/deed.es_ES,30000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/de/deed.fr,30000,,,
http://creativecommons.org/licenses/by-sa/2.0/de/,30000,,,
http://creativecommons.org/licenses/by-nd/3.0/deed.en_US,30000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/nz/,30000,,,
http://creativecommons.org/licenses/by-nc-nd/4.0/deed.de,30000,,,
http://creativecommons.org/licenses/by-sa/3.0/br/,30000,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/mx/,30000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/es/deed.es_ES,30000,,,
http://creativecommons.org/licenses/by-nc/2.0/kr/,30000,,,
http://creativecommons.org/licenses/by-nd/2.5/it/,30000,,,
https://creativecommons.org/licenses/by/3.0/deed.ca,30000,,,
https://creativecommons.org/licenses/by-nc-nd/3.0/us/,30000,,,
http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ru,30000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/nl/,30000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/deed.pt_BR,30000,,,
http://creativecommons.org/licenses/by-nc/3.0/th/,30000,,,
http://creativecommons.org/publicdomain/mark/1.0/deed.de,30000,,,
http://creativecommons.org/licenses/by/2.5/se/,30000,,,
http://creativecommons.org/licenses/by-nc-sa/4.0/deed.el,30000,,,
http://creativecommons.org/licenses/by/3.0/au/deed.en,30000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/nl/,30000,,,
http://creativecommons.org/licenses/by-nc/3.0/deed.fr,30000,,,
http://creativecommons.org/licenses/by-nc/2.0/,30000,,,
http://creativecommons.org/licenses/by-sa/2.0/fr/,30000,,,
http://creativecommons.org/licenses/by-sa/2.5/mx/,30000,,,
https://creativecommons.org/licenses/by-nc-sa/2.5/ar/,30000,,,
http://creativecommons.org/licenses/by-sa/2.5/bg/,30000,,,
http://creativecommons.org/licenses/by-nc-sa/2.0/cl/,30000,,,
http://creativecommons.org/licenses/by-nc/3.0/nz/,30000,,,
http://creativecommons.org/licenses/by/2.5/pe/,30000,,,
http://creativecommons.org/licenses/by-nc-nd/4.0/deed.el,30000,,,
https://creativecommons.org/licenses/by-nc-nd/3.0/deed.ca,30000,,,
http://creativecommons.org/licenses/by-nc/3.0/deed.es_CO,30000,,,
http://creativecommons.org/licenses/by/3.0/cz/,30000,,,
http://creativecommons.org/licenses/by-nc-sa/2.5/bg/,30000,,,
http://creativecommons.org/licenses/by/4.0/deed.pt,30000,,,
https://creativecommons.org/licenses/by-nc-nd/4.0/deed.fr,30000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/hk/,30000,,,
http://creativecommons.org/licenses/by-nc-sa/2.5/hr/,30000,,,
http://creativecommons.org/licenses/by-nd-nc/1.0/fi/,30000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/rs/deed.en,30000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.cs,30000,,,
http://creativecommons.org/licenses/by-nd/2.5/hr/,30000,,,
http://creativecommons.org/licenses/by-nc/2.5/mx/,30000,,,
http://creativecommons.org/licenses/by-nd/3.0/it/,30000,,,
http://creativecommons.org/licenses/by-nc-sa/4.0/deed.it,30000,,,
http://creativecommons.org/licenses/by-sa/3.0/deed.pt,30000,,,
http://creativecommons.org/licenses/by-sa/3.0/deed.id,30000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/hk/,30000,,,
https://creativecommons.org/licenses/by-nc-nd/2.0/,30000,,,
http://creativecommons.org/licenses/by-nc-sa/4.0/deed.en_US,30000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/deed.zh,20000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.de,20000,,,
http://creativecommons.org/licenses/by-nc/2.0/cl/,20000,,,
http://creativecommons.org/licenses/by/3.0/no/,20000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/nl/,20000,,,
http://creativecommons.org/licenses/by/2.5/au/,20000,,,
http://creativecommons.org/licenses/by-nd/2.5/es/,20000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/cz,20000,,,
http://creativecommons.org/licenses/by-nc/2.1/jp/,20000,,,
https://creativecommons.org/licenses/by-nc-sa/3.0/us/,20000,,,
https://creativecommons.org/licenses/by-sa/4.0/deed.de,20000,,,
http://creativecommons.org/licenses/by-sa/3.0/deed.de,20000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/de/deed.de,20000,,,
http://creativecommons.org/licenses/by/3.0/deed.ca,20000,,,
http://creativecommons.org/licenses/by/2.5/in/,20000,,,
http://creativecommons.org/licenses/by-sa/2.0/cl/,20000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/gr/,20000,,,
https://creativecommons.org/licenses/by/3.0/deed.ru,20000,,,
http://creativecommons.org/licenses/by/3.0/za/,20000,,,
https://creativecommons.org/licenses/by/3.0/deed.pt,20000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.nl,20000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/pr/,20000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/cn/,20000,,,
http://creativecommons.org/licenses/by-nc-nd/2.5/si/,20000,,,
http://creativecommons.org/licenses/by-sa/3.0/deed.eu,20000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0,20000,,,
http://creativecommons.org/licenses/by/3.0/pl/,20000,,,
http://creativecommons.org/licenses/by-nc/3.0/tw/,20000,,,
http://creativecommons.org/licenses/by/4.0/deed.es_ES,20000,,,
http://creativecommons.org/licenses/by-nc-sa/4.0/deed.es_ES,20000,,,
http://creativecommons.org/licenses/by/3.0/br/,20000,,,
http://creativecommons.org/licenses/by-nc-sa/3.0/deed.de,20000,,,
http://creativecommons.org/licenses/by-nc-nd/2.0/be/,20000,,,
http://creativecommons.org/licenses/by-nc-sa/2.5/es/deed.ca,20000,,,
http://creativecommons.org/licenses/by-sa/3.0/deed.en_GB,20000,,,
http://creativecommons.org/licenses/by-nc/2.0/fr/,20000,,,
http://creativecommons.org/licenses/by-nd/3.0/rs/,20000,,,
http://creativecommons.org/licenses/by-nd/3.0/deed.es_ES,20000,,,
http://creativecommons.org/licenses/by-nc/3.0/au/,20000,,,
http://creativecommons.org/licenses/by-nc-nd/4.0/deed.fr,20000,,,
https://creativecommons.org/publicdomain/mark/1.0/,20000,,,
https://creativecommons.org/licenses/by-nd/3.0/,20000,,,
http://creativecommons.org/licenses/by/4.0/deed.pt_BR,20000,,,
http://creativecommons.org/licenses/by-nc-nd/3.0/deed.el,20000,,,
http://creativecommons.org/licenses/by-sa/4.0/deed.fr,20000,,,
http://creativecommons.org/licenses/by-nc-sa/4.0/deed.fr,20000,,,
