,Unnamed: 0,location,dates,license,description,tags,views,comments,text_final
3582,50,"Ypsilanti, Michigan, USA",2022-09-25 06:57:26,1.0,"['off', 'with', 'runyon', 'to', 'his', 'favorite', 'place', 'on', 'earth', '-', 'swift', 'run', 'dog', 'park', '(', 'near', 'the', 'intersection', 'of', 'platt', 'and', 'ellsworth', 'and', 'across', 'the', 'street', 'from', 'lillie', 'park', ')', '.', 'pictures', 'from', 'sunday', 'september', '25th', ',', '2022', '.']","['Swift Run Dog Park', 'Swift Run', 'Dog Park', 'Dogs', 'Pets', 'Ann Arbor', 'Washtenaw County', 'Ann Arbor Parks Parks', 'Washtenaw County Parks', 'Spring', 'Off Leash', 'Michigan', 'SwiftRun09252022', 'SwiftRunDogPark2022', 'SwiftRunDogPark2022AM', 'SwiftRunMorning', 'Parks', 'Morning', 'Runyon09252022', 'Dog', 'Rescue Dogs', 'Catahoula', 'Catahoula Mix', 'Catahoula Leopard Mix']",64.0,0.0,"['runyon', 'favorite', 'place', 'earth', 'swift', 'run', 'dog', 'park', 'near', 'intersection', 'platt', 'ellsworth', 'across', 'street', 'lillie', 'park', 'picture', 'sunday', 'september']"
3585,53,"Getxo, Spain",2022-09-23 13:03:49,1.0,"['fotos', 'de', 'gorka', 'retes', '.', 'post', 'completo', ':', '<', 'b', '>', '<', 'a', 'href=', ""''"", 'https', ':', '//blog.agirregabiria.net/2022/08/i-muestra-de-la-movilidad-sostenible-de.html', ""''"", 'rel=', ""''"", 'noreferrer', 'nofollow', ""''"", '>', 'moveo', ',', 'i', 'muestra', 'de', 'la', 'movilidad', 'sostenible', 'de', 'oviedo', '<', '/a', '>', '<', '/b', '>', '.']",[],5.0,0.0,"['fotos', 'de', 'gorka', 'rete', 'post', 'completo', 'b', 'http', 'noreferrer', 'nofollow', 'moveo', 'muestra', 'de', 'la', 'movilidad', 'sostenible', 'de', 'oviedo']"
3598,66,"Geneva, Switzerland",2022-09-21 15:04:06,1.0,"['advancing', 'net-zero', 'across', 'healthcare', 'and', 'manufacturing', 'industries', 'brian', 'eden', ',', 'vice-president', ',', 'global', 'life', 'sciences', 'technical', 'operations', 'practice', ',', 'capgemini', ',', 'france', ';', 'lisa', 'wee', ',', 'global', 'head', ',', 'sustainability', ',', 'aveva', 'group', ',', 'united', 'kingdom', ';', 'gunter', 'beitinger', ',', 'senior', 'vice-president', ',', 'manufacturing', ';', 'head', ',', 'factory', 'digitalization', ',', 'siemens', ',', 'germany', ';', 'paulette', 'frank', ',', 'chief', 'sustainability', 'officer', ',', 'johnson', '&', 'amp', ';', 'johnson', ',', 'usa', 'sharon', 'vidal', ',', 'senior', 'director', ',', 'corporate', 'social', 'responsibility', 'and', 'sustainability', ',', 'illumina', ',', 'usa', ';', 'francisco', 'betti', ',', 'head', ',', 'shaping', 'the', 'future', 'of', 'advanced', 'manufacturing', '&', 'amp', ';', 'value', 'chains', ';', 'member', ',', 'excom', ',', 'world', 'economic', 'forum', ';', 'shyam', 'bishen', ',', 'head', ',', 'shaping', 'the', 'future', 'of', 'health', 'and', 'healthcare', ',', 'member', 'of', 'executive', 'committee', ',', 'world', 'economic', 'forum', '.', 'copyright', ':', 'world', 'economic', 'forum/jeffery', 'jones']","['2022', 'sustainable development impact meetings', 'USA', 'WEF', 'WEF22', 'new york', 'world economic forum', 'leadership panel', 'workshop', 'roundtable', 'green procurement', 'climate', 'trade', 'energy', 'decarbonization', 'food systems', 'nutrition']",381.0,0.0,"['advance', 'across', 'healthcare', 'manufacturing', 'industry', 'brian', 'eden', 'global', 'life', 'science', 'technical', 'operation', 'practice', 'capgemini', 'france', 'lisa', 'wee', 'global', 'head', 'sustainability', 'aveva', 'group', 'united', 'kingdom', 'gunter', 'beitinger', 'senior', 'manufacturing', 'head', 'factory', 'digitalization', 'siemens', 'germany', 'paulette', 'frank', 'chief', 'sustainability', 'officer', 'johnson', 'amp', 'johnson', 'usa', 'sharon', 'vidal', 'senior', 'director', 'corporate', 'social', 'responsibility', 'sustainability', 'illumina', 'usa', 'francisco', 'betti', 'head', 'shape', 'future', 'advanced', 'manufacturing', 'amp', 'value', 'chain', 'member', 'excom', 'world', 'economic', 'forum', 'shyam', 'bishen', 'head', 'shape', 'future', 'health', 'healthcare', 'member', 'executive', 'committee', 'world', 'economic', 'forum', 'copyright', 'world', 'economic', 'jones']"
3603,71,"Whistler, Canada",2022-09-16 20:30:13,1.0,"['teeny', 'tiny', 'art', 'party', 'photo', ':', 'oisin', 'mchugh']","['Teeny', 'tiny', 'art', 'party', 'whistler', 'British Columbia', 'Canada']",71.0,0.0,"['teeny', 'tiny', 'art', 'party', 'photo', 'oisin', 'mchugh']"
3619,87,"São Caetano do Sul, Brasil",2019-02-17 16:34:36,1.0,"['winter', 'in', 'são', 'paulo', '-', '33º', '/', '89ºf', 'air', 'humidity', '-', '23', '%', 'september', '9th.', ',', '2022.', 'save', 'our', 'planet', ',', 'please', '!', '*', '*', '*', 'el', 'valle', 'de', 'la', 'luna', '(', 'the', 'valley', 'of', 'the', 'moon', ')', 'is', 'located', '13', 'kilometres', '(', '8', 'mi', ')', 'west', 'of', 'san', 'pedro', 'de', 'atacama', ',', 'to', 'the', 'north', 'of', 'chile', 'in', 'the', 'cordillera', 'de', 'la', 'sal', ',', 'in', 'the', 'atacama', 'desert', '.', 'it', 'has', 'various', 'stone', 'and', 'sand', 'formations', 'which', 'have', 'been', 'carved', 'by', 'wind', 'and', 'water', '.', 'it', 'has', 'an', 'impressive', 'range', 'of', 'color', 'and', 'texture', ',', 'looking', 'somewhat', 'similar', 'to', 'the', 'surface', 'of', 'the', 'moon', '.', 'there', 'are', 'also', 'dry', 'lakes', 'where', 'the', 'composition', 'of', 'salt', 'makes', 'a', 'white', 'covering', 'layer', 'of', 'the', 'area', '.', 'it', 'presents', 'diverse', 'saline', 'outcrops', 'which', 'appear', 'like', 'man-made', 'sculptures', '.', 'there', 'are', 'also', 'a', 'great', 'variety', 'of', 'caverns', '.', 'when', 'the', 'sun', 'sinks', ',', 'it', 'is', 'painting', 'pie', 'tones', 'the', 'edges', 'of', 'hills', 'and', 'defiles', ',', 'while', 'the', 'wind', 'blows', 'among', 'the', 'rocks', 'and', 'the', 'sky', 'passes', 'from', 'pink', 'color', 'to', 'purple', 'and', 'finally', 'black', '.', 'valle', 'de', 'la', 'luna', 'is', 'a', 'part', 'of', 'the', 'reserva', 'nacional', 'los', 'flamencos', 'and', 'was', 'declared', 'a', 'nature', 'sanctuary', 'in', '1982', 'for', 'its', 'natural', 'environment', 'and', 'strange', 'lunar', 'landscape', ',', 'from', 'which', 'its', 'name', 'is', 'derived', '.', 'the', 'atacama', 'desert', 'is', 'also', 'considered', 'one', 'of', 'the', 'driest', 'places', 'on', 'earth', ',', 'as', 'some', 'areas', 'have', 'not', 'received', 'a', 'single', 'drop', 'of', 'rain', 'in', 'hundreds', 'of', 'years', '.', 'a', 'prototype', 'for', 'a', 'mars', 'rover', 'was', 'tested', 'there', 'by', 'scientists', 'because', 'of', 'the', 'valley', ""'s"", 'dry', 'and', 'forbidding', 'terrains', '.']","['Valle de la Luna', 'Vale da Lua', 'the Valley of the Moon', 'highlands', 'altiplano', 'Altiplanos Chilenos', 'Tierras Altas Chilenas', 'Chilean Highlands', 'volcano', 'vulcão', 'montanha', 'mountain', 'neve', 'snow', 'Chile', 'San Pedro de Atacama', 'SPA', 'deserto do Atacama', 'Atacama', 'Atacama desert', 'desierto de Atacama', 'desert', 'deserto', 'desierto', 'Nortrek', 'Nortrek Atacama', 'Carlos Mella Sepulveda', 'Emmanuel', 'Argentinian travel guide', 'tour', 'passeio', 'shared tour', 'Sernatur', 'South America', 'America do Sul', 'nature', 'natureza', 'landscape', 'paisagem', 'UNESCO', 'North of Chile', 'the Andes', 'Cordilheira dos Andes', 'Salar de Atacama', 'Emmanuel, our fine Argentinian travel guide', 'Comunidad Atacameña de Solor', 'Cordillera de Sal', 'Salt Mountain Range', 'the Los Flamencos National Reserve', 'formações rochosas', 'rock formations', 'lunar surface', 'dunas', 'dunes', 'Licancabur Volcano', 'Juriques Volcano', 'Laskar Volcano', 'viagem', 'trip', 'amigo', 'NATUR', 'Sony', 'Sony 6300', 'camera', 'paisagismo', 'landscaping', 'landscaping photography', 'photography']",8747.0,186.0,"['winter', 'são', 'paulo', 'air', 'humidity', 'september', 'save', 'planet', 'please', 'el', 'valle', 'de', 'la', 'luna', 'valley', 'moon', 'locate', 'kilometre', 'mi', 'west', 'san', 'pedro', 'de', 'atacama', 'north', 'chile', 'cordillera', 'de', 'la', 'sal', 'atacama', 'desert', 'various', 'stone', 'sand', 'formation', 'carve', 'wind', 'water', 'impressive', 'range', 'color', 'texture', 'look', 'somewhat', 'similar', 'surface', 'moon', 'also', 'dry', 'lake', 'composition', 'salt', 'make', 'white', 'cover', 'layer', 'area', 'present', 'diverse', 'saline', 'outcrop', 'appear', 'like', 'sculpture', 'also', 'great', 'variety', 'cavern', 'sun', 'sink', 'paint', 'pie', 'tone', 'edge', 'hill', 'defile', 'wind', 'blow', 'among', 'rock', 'sky', 'pass', 'pink', 'color', 'purple', 'finally', 'black', 'valle', 'de', 'la', 'luna', 'part', 'reserva', 'nacional', 'los', 'flamenco', 'declare', 'nature', 'sanctuary', 'natural', 'environment', 'strange', 'lunar', 'landscape', 'name', 'derive', 'atacama', 'desert', 'also', 'consider', 'one', 'dry', 'place', 'earth', 'area', 'receive', 'single', 'drop', 'rain', 'hundred', 'year', 'prototype', 'mar', 'rover', 'test', 'scientist', 'valley', 'dry', 'forbidding', 'terrain']"
3635,103,"Cambridge, UK",2022-08-29 10:17:27,1.0,[],[],44.0,0.0,[]
3640,108,"Seattle, USA",2022-08-21 10:10:34,1.0,"['lake', 'union', 'park', ',', 'august', '21']","['connection', 'gathering', 'community', 'seattle design festival', 'public space', 'seadesignfest', 'design lecture', 'design', 'sdf2022', 'art installation', 'design event']",116.0,0.0,"['lake', 'union', 'park', 'august']"
3641,109,"Augusta, ME, USA",2022-08-27 14:50:17,1.0,"['the', 'woodshed', ',', 'manchester', 'maine', '-', '8-27-2022']",[],133.0,0.0,"['woodshed', 'manchester', 'maine']"
3642,110,St. Paul MN & sometimes Manchester/Salford UK,2022-08-26 13:38:01,1.0,[],[],2.0,0.0,[]
3647,115,"Rio de Janeiro, Brazil",2022-03-26 16:00:14,1.0,"['foto', ':', 'painel', 'unificador', 'das', 'favelas', '|', 'comcat']",[],78.0,0.0,"['foto', 'painel', 'unificador', 'da', 'favelas', 'comcat']"
3649,117,"Salt Lake City, USA",2022-09-17 15:33:47,1.0,"['the', 'only', 'seating', 'area', 'now', 'that', 'has', 'facing', 'seats', '.']",[],31.0,0.0,"['seat', 'area', 'face', 'seat']"
3681,149,"Ypsilanti, Michigan, USA",2019-07-28 07:11:03,1.0,"['morning', 'visit', 'to', 'the', 'richland', 'county', 'courthouse', 'on', 'sunday', 'july', '28th', ',', '2019.', 'a', 'break', 'from', 'looking', 'for', 'white', 'squirrels', 'in', 'olney', '!']","['Richland County', 'Richland County Illinois', 'Richland County Courthouse', 'Courthouse', 'Olney', 'Illinois', 'Government Building', 'Government', 'Building', 'Historic Buildings', 'Illinois History']",21.0,0.0,"['morning', 'visit', 'richland', 'county', 'courthouse', 'sunday', 'july', 'break', 'look', 'white', 'squirrel', 'olney']"
3692,160,Perú ,2019-08-28 09:10:57,1.0,"['sistema', 'de', 'transporte', 'accesible', 'marcará', 'un', 'hito', 'en', 'la', 'historia', 'de', 'los', 'juegos', 'parapanamericanos']",[],262.0,0.0,"['sistema', 'de', 'transporte', 'accesible', 'marcará', 'un', 'hito', 'en', 'la', 'historia', 'de', 'los', 'juegos', 'parapanamericanos']"
3698,166,the Netherlands,2012-10-12 22:44:58,1.0,['movienight'],[],16.0,0.0,['movienight']
3705,173,"Pordenone, Italia",2019-08-27 21:01:30,1.0,"['foto', 'di', 'elisa', 'caldana']","['pordenone', 'cinemazero', 'pupi avati', 'il signor diavolo', '2019', 'horror']",90.0,0.0,"['foto', 'di', 'elisa', 'caldana']"
3714,182,"Tokyo, JAPAN",2019-08-12 10:45:11,1.0,['aug.12.2019'],[],3.0,0.0,[]
3771,239,India,2019-08-24 19:33:01,1.0,"['chevening', 'scholars', 'from', 'the', 'crisp', 'fellowship', 'gathered', 'in', 'hyderabad', ',', 'india', 'for', 'the', 'first', 'alumni', 'event', 'on', 'august', '23-24', ',', '2019', '.']","['CRISP', 'Chevening', 'Hyderabad']",66.0,0.0,"['chevening', 'scholar', 'crisp', 'fellowship', 'gather', 'hyderabad', 'india', 'first', 'alumni', 'event', 'august']"
3774,242,"Brussels, Belgium",2019-08-10 15:09:27,1.0,"['philippe', 'clabots', '(', '#', 'philippecphoto', '-', 'photos', '@', 'philippec.be', ')', '-', '<', 'a', 'href=', ""''"", 'http', ':', '//photos.philippec.be/', ""''"", 'rel=', ""''"", 'noreferrer', 'nofollow', ""''"", '>', 'photos.philippec.be/', '<', '/a', '>', 'pcla-20190810-_mg_6281.dng', '¹⁄₂₅₀', 'sec', 'at', 'f/8,0', '-', 'iso', '100', '-', '16mm', 'canon', 'eos', '6d', 'mark', 'ii', '-', 'ef16-35mm', 'f/4l', 'is', 'usm', 'author', ':', 'philippe', 'clabots', '(', '#', 'philippecphoto', ')', 'facebook', 'page', ':', '<', 'a', 'href=', ""''"", 'https', ':', '//www.facebook.com/philippecphotographie', ""''"", 'rel=', ""''"", 'noreferrer', 'nofollow', ""''"", '>', 'www.facebook.com/philippecphotographie', '<', '/a', '>', 'photoblog', ':', '<', 'a', 'href=', ""''"", 'http', ':', '//photos.philippec.be/', ""''"", 'rel=', ""''"", 'noreferrer', 'nofollow', ""''"", '>', 'photos.philippec.be/', '<', '/a', '>', 'this', 'work', 'by', '#', 'philipppecphoto', '(', 'philippe', 'clabots', ')', 'is', 'licensed', 'under', 'a', 'creative', 'commons', 'attribution-noncommercial-sharealike', '4.0', 'international', 'license', '.', 'permissions', 'beyond', 'the', 'scope', 'of', 'this', 'license', 'may', 'be', 'available', 'at', '<', 'a', 'href=', ""''"", 'http', ':', '//photos.philippec.be/', ""''"", 'rel=', ""''"", 'noreferrer', 'nofollow', ""''"", '>', 'photos.philippec.be/', '<', '/a', '>', '.', 'copyright', '#', 'philippecphoto']","['#PhilippeCPhoto', 'Bruxelles', 'Bruxelles Pixels', 'Collectif', 'GoodFood', 'Nature', 'Neptune', 'PhilippeC', 'Potager Urbain', 'Schieven Regards II', 'Ville']",54.0,0.0,"['philippe', 'clabots', 'philippecphoto', 'photo', 'http', 'noreferrer', 'nofollow', 'sec', 'iso', 'canon', 'eos', 'mark', 'ii', 'usm', 'author', 'philippe', 'clabots', 'philippecphoto', 'facebook', 'page', 'http', 'noreferrer', 'nofollow', 'photoblog', 'http', 'noreferrer', 'nofollow', 'work', 'philipppecphoto', 'philippe', 'clabots', 'license', 'creative', 'common', 'international', 'license', 'permission', 'beyond', 'scope', 'license', 'may', 'available', 'http', 'noreferrer', 'nofollow', 'copyright', 'philippecphoto']"
3789,257,"Groningen, The Netherlands",2019-08-20 10:24:39,1.0,[],[],375.0,0.0,[]
