OTL_ID,TITLE,LICENSE,SUBJECT1,SUBJECT2,PUBLISHER,YEAR
57,College Trigonometry,Attribution-NonCommercial-ShareAlike,Mathematics,Mathematics - Pure,Stitz Zeager Open Source Mathematics,2011
58,Precalculus,Attribution-NonCommercial-ShareAlike,Mathematics,Mathematics - Pure,Stitz Zeager Open Source Mathematics,2013
59,Light and Matter,Attribution-ShareAlike,Natural Sciences - Physics,Natural Sciences - Physics,Benjamin Crowell,2010
60,OpenIntro Statistics - Fourth Edition,Attribution-ShareAlike,Mathematics - Applied,Mathematics - Applied,OpenIntro,2015
61,College Physics,Attribution,Natural Sciences - Physics,Natural Sciences - Physics,OpenStax,2012
62,Introduction to Sociology - 3e,Attribution,Social Sciences - Sociology,Social Sciences - Sociology,OpenStax,2015
64,American Government and Politics in the Information Age,Attribution-NonCommercial-ShareAlike,Social Sciences - Political Science,Social Sciences - Political Science,University of Minnesota Libraries Publishing,2016
65,Business English for Success,Attribution-NonCommercial-ShareAlike,Business,"Humanities - Literature, Rhetoric, and Poetry",Saylor Foundation,2011
66,Criminal Law,Attribution-NonCommercial-ShareAlike,Law,,University of Minnesota Libraries Publishing,2015
67,Essentials of Geographic Information Systems,Attribution-NonCommercial-ShareAlike,Computer Science - Information Systems,Natural Sciences - Earth Sciences,Saylor Foundation,2011
68,Exploring Perspectives: A Concise Guide to Analysis,Attribution-NonCommercial-ShareAlike,Education,"Humanities - Literature, Rhetoric, and Poetry",Saylor Foundation,2011
69,"General Chemistry: Principles, Patterns, and Applications",Attribution-NonCommercial-ShareAlike,Natural Sciences - Chemistry,Natural Sciences - Chemistry,Saylor Foundation,2011
70,Beginning Excel 2019,Attribution-NonCommercial-ShareAlike,Business - Accounting,Business,Open Oregon Educational Resources,2017
71,Human Resource Management,Attribution-NonCommercial-ShareAlike,Business,Business - Human Resources,University of Minnesota Libraries Publishing,2016
72,International Business,Attribution-NonCommercial-ShareAlike,Business - Management,Business - Management,Saylor Foundation,2011
73,Strategic Management,Attribution-NonCommercial-ShareAlike,Business - Management,Business - Management,Virginia Tech Publishing,2020
74,Principles of Social Psychology,Attribution-NonCommercial-ShareAlike,Social Sciences - Psychology,Social Sciences - Psychology,University of Minnesota Libraries Publishing,2015
75,Research Methods in Psychology - 4th American Edition,Attribution-NonCommercial-ShareAlike,Social Sciences - Psychology,Social Sciences - Psychology,Kwantlen Polytechnic University,2019
76,Six Steps To Job Search Success,Attribution-NonCommercial-ShareAlike,Student Success,,Saylor Foundation,2011
77,"Stand up, Speak out: The Practice and Ethics of Public Speaking",Attribution-NonCommercial-ShareAlike,"Humanities - Literature, Rhetoric, and Poetry","Journalism, Media Studies & Communications",University of Minnesota Libraries Publishing,2016
78,"World Regional Geography: People, Places and Globalization",Attribution-NonCommercial-ShareAlike,Social Sciences - Geography,Natural Sciences - Earth Sciences,University of Minnesota Libraries Publishing,2016
79,"Social Science Research: Principles, Methods, and Practices",Attribution-NonCommercial-ShareAlike,Social Sciences - Political Science,Social Sciences - Political Science,Global Text Project,2012
80,How to Think Like a Computer Scientist: Learning with Python,Attribution,Computer Science - Programming Languages,Computer Science - Programming Languages,Green Tea Press,2008
83,The Little Book of Semaphores,Attribution-NonCommercial-ShareAlike,Computer Science,,Green Tea Press,2016
92,Calculus for the Life Sciences: A Modeling Approach Volume 1,Attribution-NonCommercial-NoDerivs,Mathematics,Mathematics - Pure,A.T. Still University,2011
95,Basic Analysis: Introduction to Real Analysis,Attribution-NonCommercial-ShareAlike,Mathematics,Mathematics - Applied,Jirí Lebl,2016
96,Sustainability: A Comprehensive Foundation,Attribution,Natural Sciences,Social Sciences - Political Science,OpenStax CNX,2015
97,Precalculus: An Investigation of Functions,Attribution-ShareAlike,Mathematics,Mathematics - Pure,David Lippman and Melonie Rasmussen,2017
98,Math in Society - Edition 2.5,Attribution-ShareAlike,Mathematics,,David Lippman,2017
99,Introduction to Basic Legal Citation,Attribution-ShareAlike,Law,,CALI's eLangdell® Press,2013
100,"Contract Doctrine, Theory & Practice Volume 2",Attribution-NonCommercial-ShareAlike,Business,Law - Contract Law,CALI's eLangdell® Press,2012
101,"Contract Doctrine, Theory & Practice Volume 1",Attribution-NonCommercial-ShareAlike,Business,Law - Contract Law,CALI's eLangdell® Press,2012
102,Federal Rules of Appellate Procedure,Attribution-NonCommercial-ShareAlike,Law - Procedural Law,Law - Procedural Law,CALI's eLangdell® Press,2014
103,United States Copyright Law,Attribution-ShareAlike,Law - Property Law,Law - Property Law,CALI's eLangdell® Press,2014
104,United States Patent Law,Attribution-ShareAlike,Law - Property Law,Law - Property Law,CALI's eLangdell® Press,2014
105,United States Trademark Law,Attribution-ShareAlike,Law - Property Law,Law - Property Law,CALI's eLangdell® Press,2014
106,Land Use,Attribution-NonCommercial-ShareAlike,Law - Property Law,Law - Property Law,CALI's eLangdell® Press,2014
107,Evidence: Best Evidence Rule,Attribution-NonCommercial-ShareAlike,Law - Procedural Law,Law - Procedural Law,CALI's eLangdell® Press,2012
108,Evidence: Jury Impeachment,Attribution-NonCommercial-ShareAlike,Law - Procedural Law,Law - Procedural Law,CALI's eLangdell® Press,2014
109,Evidence: Rape Shield Rule,Attribution-NonCommercial-ShareAlike,Law - Procedural Law,Law - Procedural Law,CALI's eLangdell® Press,2014
113,Computer-Aided Exercises in Civil Procedure - 7th Edition,Attribution-NonCommercial-ShareAlike,Law,Law - Civil Law,CALI's eLangdell® Press,2014
114,Civil Procedure: Pleading,Attribution-NonCommercial-ShareAlike,Law,Law - Civil Law,CALI's eLangdell® Press,2014
115,Federal Rules of Bankruptcy Procedure,Attribution-NonCommercial-ShareAlike,Law - Procedural Law,Law - Procedural Law,CALI's eLangdell® Press,2014
116,Federal Rules of Evidence,Attribution-ShareAlike,Law - Procedural Law,Law - Procedural Law,CALI's eLangdell® Press,2016
117,Federal Rules of Criminal Procedure,Attribution-ShareAlike,Law,Law - Procedural Law,CALI's eLangdell® Press,2014
118,Federal Rules of Civil Procedure,Attribution-ShareAlike,Law,Law - Civil Law,CALI's eLangdell® Press,2016
119,The Ethics of Tax Lawyering - Third Edition,Attribution-NonCommercial-ShareAlike,Law,,CALI's eLangdell® Press,2013
120,Calculus for the Life Sciences: A Modeling Approach Volume 2,Attribution-NonCommercial-NoDerivs,Mathematics,Mathematics - Pure,A.T. Still University,2013
121,Advanced Business Law and the Legal Environment,Attribution-NonCommercial-ShareAlike,Business,Law,Saylor Foundation,2012
122,Building Strategy and Performance,Attribution-NonCommercial-ShareAlike,Business - Management,Business - Management,Saylor Foundation,2012
123,Electronic Commerce: The Strategic Perspective,Attribution,Business,Business - Management,BCcampus,2014
124,Corporate Governance,Attribution-NonCommercial-ShareAlike,Business,Business - Human Resources,Saylor Foundation,2012
125,Developing New Products and Services,Attribution-NonCommercial-ShareAlike,Business - Management,Engineering,Saylor Foundation,2012
126,Economics – Theory Through Applications,Attribution-NonCommercial-ShareAlike,Social Sciences - Economics,,,2012
127,Macroeconomics: Theory through Applications,Attribution-NonCommercial-ShareAlike,Social Sciences - Economics,,Saylor Foundation,2012
128,Focusing on Organizational Change,Attribution-NonCommercial-ShareAlike,Business,Business - Human Resources,Saylor Foundation,2012
129,Foundations of Business Law and Legal Environment,Attribution-NonCommercial-ShareAlike,Business,Law,Saylor Foundation,2012
130,Fundamentals of Global Strategy,Attribution-NonCommercial-ShareAlike,Business - Management,Business - Management,Saylor Foundation,2012
131,Government Regulation and the Legal Environment of Business,Attribution-NonCommercial-ShareAlike,Law,Social Sciences - Political Science,Saylor Foundation,2012
132,Human Relations,Attribution-NonCommercial-ShareAlike,Business - Human Resources,Business - Human Resources,Saylor Foundation,2012
134,Intermediate Algebra,Attribution-NonCommercial-ShareAlike,Mathematics,Mathematics - Pure,Saylor Foundation,2012
135,Introductory Statistics,Attribution-NonCommercial-ShareAlike,Mathematics,Mathematics - Applied,Saylor Foundation,2012
136,Leading with Cultural Intelligence,Attribution-NonCommercial-ShareAlike,Business,Business - Human Resources,Saylor Foundation,2012
137,Managerial Accounting,Attribution-NonCommercial-ShareAlike,Business - Accounting,Business,Saylor Foundation,2012
138,"The Adventure of Physics - Vol. I: Fall, Flow, and Heat",Attribution-NonCommercial-NoDerivs,Natural Sciences - Physics,Natural Sciences - Physics,Motion Mountain,1990
139,Principles of Sociological Inquiry – Qualitative and Quantitative Methods,Attribution-NonCommercial-ShareAlike,Social Sciences - Sociology,Social Sciences - Sociology,Saylor Foundation,2012
140,Small Business Management in the 21st Century,Attribution-NonCommercial-ShareAlike,Business,Business - Management,Saylor Foundation,2012
141,Social Problems: Continuity and Change,Attribution-NonCommercial-ShareAlike,Social Sciences,Social Sciences - Sociology,Saylor Foundation,2016
142,The Sustainable Business Case Book,Attribution-NonCommercial-ShareAlike,Business - Management,Business - Management,Saylor Foundation,2012
143,Understanding Media and Culture: An Introduction to Mass Communication,Attribution-NonCommercial-ShareAlike,"Journalism, Media Studies & Communications - New Media Journalism","Journalism, Media Studies & Communications - New Media Journalism",University of Minnesota Libraries Publishing,2016
144,Programming Fundamentals - A Modular Structured Approach using C++,Attribution,Computer Science - Programming Languages,Computer Science - Programming Languages,OpenStax CNX,2013
150,Algorithms and Data Structures With Applications to Graphics and Geometry,Attribution,Computer Science,Mathematics - Pure,Global Text Project,2011
153,Educational Psychology,Attribution,Education,Social Sciences - Psychology,University of Manitoba,2009
154,Fundamentals of Mathematics,Attribution,Mathematics - Pure,Mathematics - Pure,OpenStax CNX,2008
155,The Adventure of Physics - Vol. II: Relativity,Attribution-NonCommercial-NoDerivs,Natural Sciences - Physics,Natural Sciences - Physics,Motion Mountain,1990
156,"The Adventure of Physics - Vol. III: Light, Charges, and Brains",Attribution-NonCommercial-NoDerivs,Natural Sciences - Physics,Natural Sciences - Physics,Motion Mountain,1990
157,The Adventure of Physics -  Vol. IV: The Quantum of Change,Attribution-NonCommercial-NoDerivs,Natural Sciences - Physics,Natural Sciences - Physics,Motion Mountain,1990
158,"The Adventure of Physics - Vol. V: Motion Inside Matter - Pleasure, Technology, and Stars",Attribution-NonCommercial-NoDerivs,Natural Sciences - Physics,Natural Sciences - Physics,Motion Mountain,1990
159,The Adventure of Physics - Vol. VI: The Strand Model - A Speculation on Unification,Attribution-NonCommercial-NoDerivs,Natural Sciences - Physics,Natural Sciences - Physics,Motion Mountain,2008
160,Applied Discrete Structures,Attribution-NonCommercial-ShareAlike,Mathematics - Applied,Mathematics - Applied,Alan Doerr & Kenneth Levasseur,2017
161,Operating Systems and Middleware: Supporting Controlled Interaction,Attribution-ShareAlike,Computer Science,,Max Hailperin,2011
165,Writing Spaces: Readings on Writing Vol. II,Attribution-NonCommercial-NoDerivs,"Humanities - Literature, Rhetoric, and Poetry","Humanities - Literature, Rhetoric, and Poetry",Parlor Press,2011
166,Foundations of Computation,Attribution-NonCommercial-ShareAlike,Computer Science,,Carol Crichlow and David Eck,2011
167,Biology - 2e,Attribution,Natural Sciences - Biology,Natural Sciences - Biology,OpenStax,2018
168,Concepts of Biology,Attribution,Natural Sciences - Biology,Natural Sciences - Biology,OpenStax,2013
169,Anatomy and Physiology 2e - 2e,Attribution,Natural Sciences - Biology,Natural Sciences - Biology,OpenStax,2021
170,"Mind, Body, World: Foundations of Cognitive Science",Attribution-NonCommercial-NoDerivs,Natural Sciences,Social Sciences - Psychology,Athabasca University Press,2013
171,Open Data Structures: An Introduction,Attribution-NonCommercial-NoDerivs,Computer Science,,Athabasca University Press,2013
172,"Contract Doctrine, Theory & Practice Volume 3",Attribution-ShareAlike,Law - Contract Law,Law - Contract Law,CALI's eLangdell® Press,2012
173,Elementary Differential Equations with Boundary Value Problems,Attribution-NonCommercial-ShareAlike,Mathematics,Engineering,A.T. Still University,2013
174,Introduction to Real Analysis,Attribution-NonCommercial-ShareAlike,Mathematics,Mathematics - Applied,A.T. Still University,2013
178,Active Calculus 2.0,Attribution-NonCommercial-ShareAlike,Mathematics,Mathematics - Pure,Grand Valley State University,2017
187,A Computational Introduction to Number Theory and Algebra,Attribution-NonCommercial-NoDerivs,Mathematics,Mathematics - Applied,Cambridge University Press,2009
188,Linear Algebra,Attribution-NonCommercial-ShareAlike,Mathematics,Mathematics - Pure,"University of California, Davis",2016
189,Information Systems for Business and Beyond,Attribution-NonCommercial,Computer Science - Information Systems,Computer Science - Information Systems,Saylor Foundation,2014
190,"The Information Literacy User's Guide: An Open, Online Textbook",Attribution-NonCommercial-ShareAlike,Education - Higher Education,Education - Higher Education,Open SUNY,2014
191,Principles of Economics - 2e,Attribution,Social Sciences - Economics,,OpenStax,2017
192,Principles of Macroeconomics - 2e,Attribution,Social Sciences - Economics,,OpenStax,2017
193,Principles of Microeconomics,Attribution,Social Sciences - Economics,,OpenStax,2014
194,Liberté,Attribution-NonCommercial-ShareAlike,Humanities - Languages,Humanities - Languages,Gretchen V. Angelo,2003
196,Introductory Statistics,Attribution,Mathematics,Mathematics - Applied,OpenStax,2013
197,Precalculus,Attribution,Mathematics,Mathematics - Pure,OpenStax,2014
198,APEX Calculus,Attribution-NonCommercial,Mathematics,Mathematics - Pure,APEX Calculus,2014
199,Native Peoples of North America,Attribution-NonCommercial-ShareAlike,Social Sciences,Social Sciences - Cultural & Ethnic Studies,Open SUNY,2013
200,How We Got from There to Here: A Story of Real Analysis,Attribution-NonCommercial-ShareAlike,Mathematics,,Open SUNY,2014
201,Instruction in Functional Assessment,Attribution-NonCommercial-ShareAlike,Education,Social Sciences,Open SUNY,2014
202,Guidelines for Improving the Effectiveness of Boards of Directors of Nonprofit Organizations,Attribution-NonCommercial-ShareAlike,Business,Business - Human Resources,Open SUNY,2014
203,The Missing Link: An Introduction to Web Development and Programming,Attribution-NonCommercial-ShareAlike,Computer Science,,Open SUNY,2014
204,"Literature, the Humanities, and Humanity",Attribution-NonCommercial-ShareAlike,"Humanities - Literature, Rhetoric, and Poetry","Humanities - Literature, Rhetoric, and Poetry",Open SUNY,2014
205,Natural Resources Biometrics,Attribution-NonCommercial-ShareAlike,Natural Sciences,,Open SUNY,2014
206,U.S. History,Attribution,Humanities - History,Humanities - History,OpenStax,2015
207,Psychology - 2e,Attribution,Social Sciences - Psychology,Social Sciences - Psychology,OpenStax,2014
208,United States Securities Law,Attribution-ShareAlike,Law - Contract Law,Law - Contract Law,CALI's eLangdell® Press,2014
210,"Linear Algebra, Theory And Applications",Attribution-ShareAlike,Mathematics,Mathematics - Pure,Saylor Foundation,2012
211,Notes on Diffy Qs: Differential Equations for Engineers,Attribution-NonCommercial-ShareAlike,Mathematics - Pure,Engineering,Jirí Lebl,2014
213,A First Course in Linear Algebra,Attribution,Mathematics,Mathematics - Pure,Lyryx,2017
215,Introduction to Financial Accounting,Attribution-NonCommercial-ShareAlike,Business - Finance,Business - Accounting,Lyryx,2017
218,"Java, Java, Java: Object-Oriented Problem Solving",Attribution,Computer Science - Programming Languages,Computer Science - Programming Languages,"Ralph Morelli, Ralph Walde",2016
219,Chemistry - 2e,Attribution,Natural Sciences - Chemistry,Natural Sciences - Chemistry,OpenStax,2019
220,Calculus One,Attribution-NonCommercial-ShareAlike,Mathematics,Mathematics - Pure,Mooculus,2014
221,Teaching in a Digital Age: Guidelines for designing teaching and learning - 2nd Edition,Attribution-NonCommercial,Education,Education - Curriculum & Instruction,BCcampus,2015
223,Beyond Lean: Simulation in Practice - Second Edition,Attribution-NonCommercial-ShareAlike,Business - Management,Business - Management,Grand Valley State University,2013
224,Introduction to Human Osteology,Attribution-NonCommercial,Natural Sciences - Biology,Social Sciences,Grand Valley State University,2010
225,"Mathematical Reasoning: Writing and Proof, Version 2.1",Attribution-NonCommercial-ShareAlike,Mathematics - Pure,Mathematics - Pure,Grand Valley State University,2014
226,Writing Spaces Web Writing Style Guide,Attribution-NonCommercial-ShareAlike,"Humanities - Literature, Rhetoric, and Poetry","Humanities - Literature, Rhetoric, and Poetry",Grand Valley State University,2011
227,Discover Psychology 2.0: A Brief Introductory Text,Attribution-NonCommercial-ShareAlike,Social Sciences - Psychology,Social Sciences - Psychology,Noba,2015
228,Introduction to Psychology: The Full Noba Collection,Attribution-NonCommercial-ShareAlike,Social Sciences - Psychology,Social Sciences - Psychology,Noba,2016
229,Psychology as a Biological Science,Attribution-NonCommercial-ShareAlike,Natural Sciences - Biology,Social Sciences - Psychology,Noba,2020
230,Psychology as a Social Science,Attribution-NonCommercial-ShareAlike,Natural Sciences,,Noba,2015
231,Digital Circuit Projects: An Overview of Digital Circuits Through Implementing Integrated Circuits,Attribution,Computer Science,,A.T. Still University,2014
232,Foundations of Academic Success: Words of Wisdom,Attribution-NonCommercial-ShareAlike,Student Success,,Open SUNY,2015
233,Introduction to the Modeling and Analysis of Complex Systems,Attribution-NonCommercial-ShareAlike,Computer Science,,Open SUNY,2015
234,Spatial Thinking in Planning Practice: An Introduction to GIS,Attribution-NonCommercial,Computer Science,,Portland State University Library,2014
235,Comprehensive Individualized Curriculum and Instructional Design: Curriculum and Instruction for Students with Developmental Disabilities/Autism Spectrum Disorders,Attribution-NonCommercial,Education,Education - Curriculum & Instruction,Portland State University Library,2015
236,Preadvanced Japanese,Attribution-NonCommercial,Humanities - Languages,Humanities - Languages,Portland State University Library,2014
237,Spiral Workbook for Discrete Mathematics,Attribution-NonCommercial-ShareAlike,Mathematics - Pure,Mathematics - Pure,Open SUNY,2015
238,Information Strategies for Communicators,Attribution,"Journalism, Media Studies & Communications",,University of Minnesota Libraries Publishing,2015
239,Algebra and Trigonometry 2e,Attribution,Mathematics,Mathematics - Pure,OpenStax,2021
240,College Algebra 2e - 2e,Attribution,Mathematics,Mathematics - Pure,OpenStax,2021
241,Prealgebra - 2e,Attribution,Mathematics,Mathematics - Pure,OpenStax,2015
242,Theatrical Worlds,Attribution-NonCommercial-NoDerivs,Humanities - Arts,Humanities - Arts,University Press of Florida,2014
243,Introduction to Mathematical Analysis I - Second Edition,Attribution-NonCommercial,Mathematics,Mathematics - Applied,Portland State University Library,2016
244,Basic Cell and Molecular Biology: What We Know & How We Found Out - 4e,Attribution,Natural Sciences - Biology,Natural Sciences - Biology,"University of Wisconsin, Milwaukee",2018
245,Precalculus,Attribution-NonCommercial-ShareAlike,Mathematics,Mathematics - Pure,CUNY Academic Works,2015
246,Nursing Care at the End of Life: What Every Clinician Should Know,Attribution-NonCommercial-ShareAlike,Medicine - Nursing,Medicine - Nursing,Open SUNY,2015
247,Writing In College: From Competence to Excellence,Attribution-NonCommercial-ShareAlike,"Humanities - Literature, Rhetoric, and Poetry",Student Success,Open SUNY,2016
248,Français interactif,Attribution,Humanities - Languages,Humanities - Languages,COERLL,2011
249,Deutsch im Blick - 2nd Edition,Attribution,Humanities - Languages,Humanities - Languages,COERLL,2017
250,Yorùbá Yé Mi,Attribution-NonCommercial-NoDerivs,Humanities - Languages,Humanities - Languages,COERLL,2014
251,Conversa Brasileira,Attribution,Humanities - Languages,Humanities - Languages,COERLL,2013
252,Calculus Volume 1,Attribution-NonCommercial-ShareAlike,Mathematics,Mathematics - Pure,OpenStax,2016
254,Beginning Japanese for Professionals: Book 1,Attribution-NonCommercial,Humanities - Languages,Humanities - Languages,Portland State University Library,2015
255,FROM MSA to CA: A Beginner's Guide to Transitioning to Colloquial Arabic,Attribution-NonCommercial,Humanities - Languages,Humanities - Languages,Portland State University Library,2015
256,Applied Probability,Attribution,Mathematics - Applied,Mathematics - Applied,OpenStax CNX,2009
257,Understanding Basic Music Theory,Attribution,Humanities - Arts,Humanities - Arts,OpenStax CNX,2013
260,Elementary Algebra,Attribution,Mathematics,Mathematics - Pure,OpenStax CNX,2010
261,Fast Fourier Transforms,Attribution,Computer Science,,OpenStax CNX,2012
262,Le Littéraire dans le quotidien,Attribution,Humanities - Languages,Humanities - Languages,COERLL,2015
263,Teaching Autoethnography: Personal Writing in the Classroom,Attribution-NonCommercial-ShareAlike,Education,"Humanities - Literature, Rhetoric, and Poetry",Open SUNY,2016
264,"Good Corporation, Bad Corporation: Corporate Social Responsibility in the Global Economy",Attribution-NonCommercial-ShareAlike,Business,Social Sciences - Economics,Open SUNY,2016
265,Steps to Success: Crossing the Bridge Between Literacy Research and Practice,Attribution-NonCommercial-ShareAlike,Education,Education - Elementary Education,Open SUNY,2016
266,The Intelligent Troglodyte’s Guide to Plato’s Republic,Attribution,Humanities - Philosophy,Humanities - Philosophy,A.T. Still University,2016
267,The Changing Story: digital stories that participate in transforming teaching & learning,Attribution,Education,"Humanities - Literature, Rhetoric, and Poetry",University of Minnesota Libraries Publishing,2016
268,Living with Earthquakes in the Pacific Northwest,Attribution-NonCommercial-ShareAlike,Natural Sciences - Earth Sciences,Natural Sciences - Earth Sciences,Oregon State University,2004
269,Physical Geology,Attribution,Natural Sciences - Earth Sciences,,BCcampus,2015
270,Sustaining the Commons,Attribution-NonCommercial-NoDerivs,Social Sciences - Economics,Social Sciences,Arizona State University,2016
271,A Primer on Sustainable Business,Attribution-NonCommercial-ShareAlike,Business,Business - Finance,Saylor Foundation,2012
272,The Business Ethics Workshop,Attribution-NonCommercial-ShareAlike,Business,,Saylor Foundation,2012
273,Business Law and the Legal Environment,Attribution-NonCommercial-ShareAlike,Business,Law,Saylor Foundation,2012
274,Communication in the Real World: An Introduction to Communication Studies,Attribution-NonCommercial-ShareAlike,"Journalism, Media Studies & Communications",,University of Minnesota Libraries Publishing,2016
275,Growth and Competitive Strategy in 3 Circles,Attribution-NonCommercial-ShareAlike,Business,Business - Marketing,Saylor Foundation,2012
276,International Economics: Theory and Policy,Attribution-NonCommercial-ShareAlike,Social Sciences - Economics,Social Sciences - Political Science,Saylor Foundation,2012
277,"Introduction to Contracts, Sales and Product Liability",Attribution-NonCommercial-ShareAlike,Business,Law,Saylor Foundation,2012
278,"Introduction to the Law of Property, Estate Planning and Insurance",Attribution-NonCommercial-ShareAlike,Business,Law,Saylor Foundation,2012
279,Law for Entrepreneurs,Attribution-NonCommercial-ShareAlike,Business,Law,Saylor Foundation,2012
280,Law of Commercial Transactions,Attribution-NonCommercial-ShareAlike,Business,Law,Saylor Foundation,2012
281,Legal Aspects of Corporate Management and Finance,Attribution-NonCommercial-ShareAlike,Business - Finance,Law,Saylor Foundation,2012
282,Legal Aspects of Marketing and Sales,Attribution-NonCommercial-ShareAlike,Business - Marketing,Law,Saylor Foundation,2012
283,Music and the Child,Attribution-NonCommercial-ShareAlike,Humanities - Arts,Humanities - Arts,Open SUNY,2016
