"TOOL_IDENTIFIER","CATEGORY_CODE","CATEGORY_LABEL","COUNT"
"CC BY 4.0","math.NA","Numerical Analysis","2"
"CC BY 4.0","math.NT","Number Theory","1"
"CC BY 4.0","math.OC","Optimization and Control","4"
"CC BY 4.0","math.PR","Probability","1"
"CC BY 4.0","math.RA","Rings and Algebras","1"
"CC BY 4.0","math.ST","Statistics Theory","1"
"CC BY 4.0","nucl-ex","Nuclear Experiment","1"
"CC BY 4.0","physics.acc-ph","Accelerator Physics","1"
"CC BY 4.0","physics.ao-ph","Atmospheric and Oceanic Physics","2"
"CC BY 4.0","physics.app-ph","Applied Physics","4"
"CC BY 4.0","physics.bio-ph","Biological Physics","3"
"CC BY 4.0","physics.chem-ph","Chemical Physics","1"
"CC BY 4.0","physics.class-ph","Classical Physics","1"
"CC BY 4.0","physics.ed-ph","Physics Education","2"
"CC BY 4.0","physics.gen-ph","General Physics","1"
"CC BY 4.0","physics.med-ph","Medical Physics","1"
"CC BY 4.0","physics.plasm-ph","Plasma Physics","2"
"CC BY 4.0","q-bio.PE","Populations and Evolution","1"
"CC BY 4.0","q-bio.QM","Quantitative Methods","1"
"CC BY 4.0","quant-ph","Quantum Physics","5"
"CC BY 4.0","stat.ML","Machine Learning","1"
"CC BY-NC-ND 4.0","astro-ph.HE","High Energy Astrophysical Phenomena","1"
"CC BY-NC-ND 4.0","cond-mat.mtrl-sci","Materials Science","2"
"CC BY-NC-ND 4.0","cs.CE","Computational Engineering, Finance, and Science","2"
"CC BY-NC-ND 4.0","cs.CL","Computation and Language","3"
"CC BY-NC-ND 4.0","cs.CR","Cryptography and Security","1"
"CC BY-NC-ND 4.0","cs.CV","Computer Vision and Pattern Recognition","2"
"CC BY-NC-ND 4.0","cs.DB","Databases","1"
"CC BY-NC-ND 4.0","cs.IR","Information Retrieval","1"
"CC BY-NC-ND 4.0","cs.LG","Machine Learning","5"
"CC BY-NC-ND 4.0","cs.MS","Mathematical Software","1"
"CC BY-NC-ND 4.0","cs.NI","Networking and Internet Architecture","1"
"CC BY-NC-ND 4.0","cs.RO","Robotics","1"
"CC BY-NC-ND 4.0","cs.SI","Social and Information Networks","1"
"CC BY-NC-ND 4.0","eess.SY","Systems and Control","2"
"CC BY-NC-ND 4.0","math.OC","Optimization and Control","1"
"CC BY-NC-ND 4.0","math.PR","Probability","1"
"CC BY-NC-ND 4.0","physics.bio-ph","Biological Physics","1"
"CC BY-NC-ND 4.0","physics.flu-dyn","Fluid Dynamics","1"
"CC BY-NC-ND 4.0","physics.optics","Optics","1"
"CC BY-NC-ND 4.0","stat.ME","Methodology","2"
"CC BY-NC-ND 4.0","stat.ML","Machine Learning","1"
"CC BY-NC-SA 4.0","cs.AI","Artificial Intelligence","3"
"CC BY-NC-SA 4.0","cs.CL","Computation and Language","2"
"CC BY-NC-SA 4.0","cs.CR","Cryptography and Security","1"
"CC BY-NC-SA 4.0","cs.IT","Information Theory","2"
"CC BY-NC-SA 4.0","cs.LG","Machine Learning","2"
"CC BY-NC-SA 4.0","eess.IV","Image and Video Processing","1"
"CC BY-NC-SA 4.0","q-bio.PE","Populations and Evolution","1"
"CC BY-SA 4.0","cs.SD","Sound","1"
"CC BY-SA 4.0","math.AT","Algebraic Topology","1"
"CC BY-SA 4.0","math.NA","Numerical Analysis","1"
"CC BY-SA 4.0","math.OC","Optimization and Control","1"
"CC BY-SA 4.0","quant-ph","Quantum Physics","1"
"CC0 1.0","cond-mat.mes-hall","Mesoscale and Nanoscale Physics","1"
"CC0 1.0","cond-mat.str-el","Strongly Correlated Electrons","1"
"CC0 1.0","eess.IV","Image and Video Processing","1"
"CC0 1.0","math.AG","Algebraic Geometry","1"
"CC0 1.0","nucl-ex","Nuclear Experiment","1"
"CC0 1.0","physics.optics","Optics","2"
"CC0 1.0","physics.soc-ph","Physics and Society","1"
