LICENSE TYPE,File Count,Page Count
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.0/CC-BY-SA-2.0+/CC-BY-SA-2.0-AT,773,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.0/CC-BY-SA-2.0+/CC-BY-SA-2.0-AU,3,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.0/CC-BY-SA-2.0+/CC-BY-SA-2.0-BE,1032,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.0/CC-BY-SA-2.0+/CC-BY-SA-2.0-BR,218,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.0/CC-BY-SA-2.0+/CC-BY-SA-2.0-CA,316,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.0/CC-BY-SA-2.0+/CC-BY-SA-2.0-CL,15,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.0/CC-BY-SA-2.0+/CC-BY-SA-2.0-DE,37206,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.0/CC-BY-SA-2.0+/CC-BY-SA-2.0-ES,44,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.1,0,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.1/CC-BY-SA-2.1-AU,61,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.1/CC-BY-SA-2.1-ES,715,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.1/CC-BY-SA-2.1-JP,23612,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.5,338337,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.5/CC-BY-SA-2.5-AR,998,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.5/CC-BY-SA-2.5-AU,1774,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.5/CC-BY-SA-2.5-BG,0,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.5/CC-BY-SA-2.5-BR,521,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.5/CC-BY-SA-2.5-CA,1701,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.5/CC-BY-SA-2.5-CH,3009,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-2.5/CC-BY-SA-2.5-CN,38,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-3.0,10311807,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-3.0/CC-BY-SA-3.0-AT,111610,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-3.0/CC-BY-SA-3.0-AU,168580,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-3.0/CC-BY-SA-3.0-BG,0,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-3.0/CC-BY-SA-3.0-BR,3665,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-3.0/CC-BY-SA-3.0-CH,1664,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-3.0/CC-BY-SA-3.0-CL,2798,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-3.0/CC-BY-SA-3.0-CN,142,0
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-4.0,22031587,11
Free_Creative_Commons_licenses/CC-BY-SA/CC-BY-SA-4.0/CC-BY-SA-4.0|3.0,33,0
Free_Creative_Commons_licenses/CC-PD,9910,0
Free_Creative_Commons_licenses/CC-PD/All LibriVox recordings,5461,0
Free_Creative_Commons_licenses/CC-PD/LibriVox - The Federalist Papers,85,0
Free_Creative_Commons_licenses/CC-SA-1.0,4446,0
Free_Creative_Commons_licenses/CC-Zero,5391981,2
Free_Creative_Commons_licenses/CC-Zero/PD OpenClipart,2666,0
Free_Creative_Commons_licenses/CC-Zero/PD OpenClipart/OpenClipart playing cards,0,0
Free_Creative_Commons_licenses/CC-Zero/PD OpenClipart/OpenClipart playing cards/OpenClipart bordered playing cards,54,0
Free_Creative_Commons_licenses/CC-Zero/PD OpenClipart/OpenClipart playing cards/OpenClipart ornamental playing cards,54,0
Free_Creative_Commons_licenses/CC-Zero/PD OpenClipart/OpenClipart playing cards/OpenClipart playing card backs,10,0
Free_Creative_Commons_licenses/CC-Zero/PD OpenClipart/OpenClipart playing cards/OpenClipart simple playing cards,55,0
Free_Creative_Commons_licenses/CC-Zero/PD OpenClipart/OpenClipart playing cards/OpenClipart white playing cards,54,0
Free_Creative_Commons_licenses/CC-Zero/Collections of the Biblioteca Virtual de Defensa,145,0
Free_Creative_Commons_licenses/CC-Zero/Collections of the Biblioteca Virtual de Defensa/Documents from the Biblioteca Virtual de Defensa,17,0
Free_Creative_Commons_licenses/CC-Zero/Collections of the Biblioteca Virtual de Defensa/Images from the Biblioteca Virtual de Defensa,163,0
Free_Creative_Commons_licenses/CC-Zero/Media from piviso.com,1,0
Free_Creative_Commons_licenses/CC-Zero/CC0 files by PantheraLeo1359531,576,0
Free_Creative_Commons_licenses/CC-Zero/Files from Pexels,271,0
Free_Creative_Commons_licenses/CC-Zero/Images from Pixabay,5408,0
Free_Creative_Commons_licenses/CC-Zero/Images from Pixabay/Files from Pixabay by user,0,2
Free_Creative_Commons_licenses/CC-Zero/Images from Pixabay/Files from Pixabay by user/Files from AG2016 from Pixabay,5,0
Free_Creative_Commons_licenses/CC-Zero/Images from Pixabay/Files from Pixabay by user/Files from alles from Pixabay,9,0
Free_Creative_Commons_licenses/CC-Zero/Images from Pixabay/Files from Pixabay by user/Files from Arthur 2016 from Pixabay,4,0
Free_Creative_Commons_licenses/CC-Zero/Images from Pixabay/Files from Pixabay by user/Files from auntmasako from Pixabay,3,0
Free_Creative_Commons_licenses/CC-Zero/Images from Pixabay/Files from Pixabay by user/Files from Pixabay by Bhupendra Shrestha,5,0
Free_Creative_Commons_licenses/CC-Zero/Images from Pixabay/Files from Pixabay by user/Files from HaloJim from Pixabay,4,0
Free_Creative_Commons_licenses/CC-Zero/Images from Pixabay/Files from Pixabay by user/Files from KeithJJ from Pixabay,81,0
Free_Creative_Commons_licenses/CC-Zero/Images from Pixabay/Files from Pixabay by user/Files from kpr2 from Pixabay,9,0
Free_Creative_Commons_licenses/CC-Zero/Images from Pixabay/Files from Pixabay by user/Files from Pixabay uploaded by Moheen,14,0
Free_Creative_Commons_licenses/CC-Zero/Images from Pixabay/Files from Pixabay by user/Files from Purota from Pixabay,4,0
Free_Creative_Commons_licenses/CC-Zero/Videos from Pixabay,14,0
Free_Creative_Commons_licenses/CC-Zero/Images from Pixnio,23,0
Free_Creative_Commons_licenses/CC-Zero/Images from Pxhere,391,0
Free_Creative_Commons_licenses/CC-Zero/Images from Unsplash,30983,0
Free_Creative_Commons_licenses/CC-Zero/Images from Unsplash/Photographs by Chris Barbalis,54,0
Free_Creative_Commons_licenses/CC-Zero/Images from Unsplash/Crew Collective %26 Café,19,0
Free_Creative_Commons_licenses/CC-Zero/Images from Unsplash/Images from Unsplash (review needed),23473,0
Free_Creative_Commons_licenses/CC-Zero/Images from Unsplash/Files from Unsplash uploaded by Moheen,6,0
Free_Creative_Commons_licenses/CC-Zero/Images from Unsplash/Photographs by Aaron Burden,180,0
Free_Creative_Commons_licenses/CC-Zero/Images from Unsplash/Photographs by Noah Silliman,39,0
Free_Creative_Commons_licenses/CC-Zero/Images from Unsplash/Photographs by Annie Spratt,360,0
Free_Creative_Commons_licenses/CC-Zero/Images from Unsplash/Images from tumblr.unsplash.com,202,0
Free_Creative_Commons_licenses/CC-Zero/Images from Unsplash/Unsplash images uploaded from other sites,215,0
Free_Creative_Commons_licenses/CC-Zero/Images from Unsplash/Photographs by Scott Webb,210,0
