Language	Language (local)	Wiki
Santali	ᱥᱟᱱᱛᱟᱲᱤ	sat
Sardinian	sardu	sc
Sicilian	sicilianu	scn
Scots	Scots	sco
Sindhi	سنڌي	sd
Northern Sami	davvisámegiella	se
Sango	Sängö	sg
Serbo-Croatian	srpskohrvatski / српскохрватски	sh
Shilha	Taclḥit	shi
Shan	ၽႃႇသႃႇတႆး	shn
Sinhalese	සිංහල	si
Simple English	Simple English	simple
Slovak	slovenčina	sk
Saraiki	سرائیکی	skr
Slovene	slovenščina	sl
Samoan	Gagana Samoa	sm
Inari Sami	anarâškielâ	smn
Shona	chiShona	sn
Somali	Soomaaliga	so
Albanian	shqip	sq
Serbian	српски / srpski	sr
Sranan Tongo	Sranantongo	srn
Swazi	SiSwati	ss
Sotho	Sesotho	st
Saterland Frisian	Seeltersk	stq
Sundanese	Sunda	su
Swedish	svenska	sv
Swahili	Kiswahili	sw
Silesian	ślůnski	szl
Sakizaya	Sakizaya	szy
Tamil	தமிழ்	ta
Tayal	Tayal	tay
Tulu	ತುಳು	tcy
Telugu	తెలుగు	te
Tetum	tetun	tet
Tajik	тоҷикӣ	tg
Thai	ไทย	th
Tigrinya	ትግርኛ	ti
Turkmen	Türkmençe	tk
Tagalog	Tagalog	tl
Tswana	Setswana	tn
Tongan	lea faka-Tonga	to
Tok Pisin	Tok Pisin	tpi
Turkish	Türkçe	tr
Seediq	Seediq	trv
Tsonga	Xitsonga	ts
Tatar	татарча/tatarça	tt
Tumbuka	chiTumbuka	tum
Twi	Twi	tw
Tahitian	reo tahiti	ty
Tuvan	тыва дыл	tyv
Udmurt	удмурт	udm
Uyghur	ئۇيغۇرچە / Uyghurche	ug
Ukrainian	українська	uk
Urdu	اردو	ur
Uzbek	oʻzbekcha/ўзбекча	uz
Venda	Tshivenda	ve
Venetian	vèneto	vec
Veps	vepsän kel’	vep
Vietnamese	Tiếng Việt	vi
West Flemish	West-Vlams	vls
Volapük	Volapük	vo
Walloon	walon	wa
Waray	Winaray	war
Wolof	Wolof	wo
Wu	吴语	wuu
Kalmyk	хальмг	xal
Xhosa	isiXhosa	xh
Mingrelian	მარგალური	xmf
Yiddish	ייִדיש	yi
Yoruba	Yorùbá	yo
Zhuang	Vahcuengh	za
Zeelandic	Zeêuws	zea
Mandarin	中文	zh
Classical Chinese	文言	zh-classical
Southern Min	Bân-lâm-gú	zh-min-nan
Cantonese	粵語	zh-yue
Zulu	isiZulu	zu
